,index,Rating,Archive Warnings,Category,Fandom,Characters,Relationships,Additional Tags,Language,Date Published,Date Updated,Word Count,Chapter Count,Comment Count,Kudos Count,Bookmarks Count,Hits Count
160,1,Explicit,No Archive Warnings Apply,M/M,Candela Obscura,"['Marion Collodi', 'Sean Finnerty (Candela Obscura)']",Marion Collodi/Sean Finnerty,"['Episode: s02e01 Eye for an Eye (Candela Obscura)', 'Established Relationship', 'Secret Relationship', 'Period-Typical Homophobia', 'bottom Sean Finnerty', 'top Marion Collodi', 'Dirty Talk', 'Light Angst', 'Intimacy', 'Anal Sex', 'Smut', 'Fluff and Smut', 'Plot What Plot/Porn Without Plot', 'Light Feminization', 'Blow Jobs', 'Multiple Orgasms', 'Aftercare', 'Tender Sex', 'doing the 1907 version of sexting which is writing each other horny letters', 'sean calling marion sugar is basically canon', 'sean has some pillow princess affinities', 'Consent is Sexy', 'Wank and Tell']",English,Unknown,2023-09-26 00:00:00,10949,None,65,250,36,2515
161,2,Explicit,No Archive Warnings Apply,M/M,Candela Obscura,"['Marion Collodi', 'Sean Finnerty (Candela Obscura)', 'Jinnah ""Jean"" Basar', 'Nathaniel Trapp', 'Beatrix Monroe | Auntie Bee']",Marion Collodi/Sean Finnerty,"['Angst and Hurt/Comfort', 'Metaphysics', 'Souls', 'Oral Sex', 'Anal Fingering', 'Anal Sex', 'Not Beta Read', 'Implied/Referenced Homophobia', 'Post Chapter Two Episode One', 'First Time']",English,Unknown,2023-09-26 00:00:00,5135,1/1,12,134,14,883
162,3,Explicit,No Archive Warnings Apply,M/M,Candela Obscura,"['Marion Collodi', 'Sean Finnerty (Candela Obscura)']",Marion Collodi/Sean Finnerty,"['Post Episode One Of Season 2', 'Established Relationship', 'Porn with Feelings', 'Scars', 'Body Paint', 'Sean Is An Artist', 'Marion Is His Canvas', 'Prostate Massage', 'Anal Sex']",English,Unknown,2023-09-26 00:00:00,6038,1/1,14,80,6,501
163,4,Teen And Up Audiences,Creator Chose Not To Use Archive Warnings,M/M,Candela Obscura,"['Sean Finnerty', 'Nathaniel Trapp', 'Marion Collodi']",Sean Finnerty/Nathaniel Trapp/Marion Collodi,No additional tags,English,2023-09-01 00:00:00,2023-09-25 00:00:00,4619,6/6,12,39,3,750
164,5,Not Rated,No Archive Warnings Apply,M/M,Candela Obscura,"['Marion Collodi', 'Sean Finnerty (Candela Obscura)', 'Jinnah ""Jean"" Basar', 'Beatrix Monroe | Auntie Bee', 'Nathaniel Trapp', 'Tony Finnerty (Candela Obscura)', 'Jimmy Finnerty (Candela Obscura)']","['Marion Collodi & Sean Finnerty', 'Marion Collodi/Sean Finnerty']","['Porn', 'Porn With Plot', 'Porn with Feelings', 'Shameless Smut', 'Fluff and Smut', 'Light Angst', 'Fighting', 'Conflict Resolution', 'Whump']",English,Unknown,2023-09-25 00:00:00,5116,1/1,7,56,1,581
165,6,Teen And Up Audiences,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Nathaniel Trapp', 'Jinnah ""Jean"" Basar', 'Beatrix Monroe | Auntie Bee']",Marion Collodi/Sean Finnerty,"['Circle of Needle and Thread (Candela Obscura)', 'Pining', 'Horror', 'Case Fic', 'Hurt/Comfort', 'Mindfuck', 'Seizures', 'Angst', 'Ensemble Cast', 'Auntie Bee Has Chronic Pain', 'And 55 is NOT too young for that', 'Post-Traumatic Stress Disorder - PTSD', 'Jossed as of episode 2']",English,2023-09-24 00:00:00,2023-09-24 00:00:00,12503,1/1,29,192,37,1250
166,7,Teen And Up Audiences,Graphic Depictions Of Violence,M/M,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi']",Marion Collodi/Sean Finnerty,"['Canon-Typical Violence', 'Literal Sleeping Together', 'Childhood Friends', 'they would be fine and happy if they started to FUCKING TALK with each other', 'Mutual Pining', 'Unresolved Romantic Tension']",English,2023-09-24 00:00:00,2023-09-24 00:00:00,4183,1/1,10,72,3,356
167,8,Teen And Up Audiences,No Archive Warnings Apply,Multi,Candela Obscura,"['Jinnah ""Jean"" Basar', 'Marion Collodi', 'Sean Finnerty (Candela Obscura)']","Jinnah ""Jean"" Basar/Marion Collodi/Sean Finnerty","['Literal Sleeping Together', 'Emotional Hurt/Comfort', 'heavy on the comfort']",English,2023-09-23 00:00:00,2023-09-23 00:00:00,2357,1/1,20,85,8,424
168,9,Explicit,Graphic Depictions Of Violence,"F/M, M/M, Multi",Candela Obscura,"['Jinnah ""Jean"" Basar', 'Marion Collodi', 'Sean Finnerty (Candela Obscura)', 'Nathaniel Trapp', 'Beatrix Monroe | Auntie Bee', 'Violet Boucher']","Jinnah ""Jean"" Basar/Marion Collodi/Sean Finnerty","['Whump', 'Angst', 'Guilt', 'Hurt/Comfort', 'Post-Traumatic Stress Disorder - PTSD', 'Porn With Plot', 'Established Relationship', 'Bottom Table OT3', 'rated E for Extremely Horny', 'Major Character Injury', 'Leg Injury', 'Suturing', 'Nonverbal Communication', 'Masturbation', 'Vaginal Sex', 'Post-Nut Vulnerability', 'Hand injury', 'Burns', 'Domesticity', 'Injury Recovery', 'Praise Kink', 'Oral Sex', 'Hand Jobs', 'Cunnilingus', 'Face-Sitting', 'Morning Sex', 'Abduction', 'Hostage Situations', 'Battle Couple', '(and make it throuple!)', 'Stabbing', 'Killing', 'Murder on the OT3 Express', 'Mind the Tags']",English,Unknown,2023-09-22 00:00:00,10720,1/1,17,103,12,828
169,10,Teen And Up Audiences,No Archive Warnings Apply,Multi,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Jinnah ""Jean"" Basar', 'Marion Collodi', 'Beatrix Monroe | Auntie Bee']","Jinnah ""Jean"" Basar/Marion Collodi/Sean Finnerty","['Romance', 'Angst', 'Minor Injuries', 'Chickens']",English,2023-09-21 00:00:00,2023-09-21 00:00:00,5456,1/1,8,75,11,464
